Sno,Accountid,score,Dec,Jan,Feb,Mar,Apr,May
2285,1.002E+11,54,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2286,1.002E+11,44,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2287,1.002E+11,89,NonOTR,NonOTR,NonOTR,NonOTR,Default,Default
2288,1.002E+11,50,OTR,OTR,NonOTR,NonOTR,OTR,NonOTR
2289,1.002E+11,53,Default,Default,Default,Default,Default,Default
2290,1.002E+11,41,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2291,1.002E+11,72,NonOTR,OTR,NonOTR,OTR,OTR,NonOTR
2292,1.002E+11,45,OTR,OTR,NonOTR,NonOTR,NonOTR,OTR
2293,1.002E+11,68,NonOTR,NonOTR,NonOTR,NonOTR,OTR,NonOTR
2294,1.002E+11,73,NonOTR,NonOTR,NonOTR,Default,Default,Default
2295,1.002E+11,68,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2296,1.002E+11,35,OTR,OTR,NonOTR,OTR,OTR,NonOTR
2297,1.002E+11,51,OTR,OTR,NonOTR,OTR,OTR,OTR
2298,1.002E+11,67,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2299,1.002E+11,39,OTR,OTR,NonOTR,Default,Default,Default
2300,1.002E+11,78,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2301,1.002E+11,54,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2302,1.002E+11,44,NonOTR,NonOTR,NonOTR,OTR,NonOTR,Default
2303,1.00201E+11,44,NonOTR,NonOTR,NonOTR,Default,Default,Default
2304,1.002E+11,62,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2305,1.002E+11,52,OTR,NonOTR,NonOTR,OTR,NonOTR,OTR
2306,1.002E+11,28,Default,Default,Default,Default,Default,Default
2307,1.002E+11,72,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2308,1.002E+11,59,NonOTR,OTR,NonOTR,OTR,OTR,OTR
2309,1.002E+11,46,OTR,NonOTR,NonOTR,OTR,Default,Default
2310,1.002E+11,57,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2311,1.002E+11,58,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2312,1.002E+11,59,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,Default
2313,1.002E+11,68,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,Default
2314,1.002E+11,61,OTR,OTR,NonOTR,OTR,OTR,OTR
2315,1.002E+11,52,OTR,NonOTR,NonOTR,Default,Default,Default
2316,1.002E+11,42,NonOTR,NonOTR,NonOTR,OTR,OTR,NonOTR
2317,1.002E+11,59,OTR,OTR,NonOTR,OTR,OTR,OTR
2318,1.002E+11,83,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2319,1.002E+11,59,NonOTR,NonOTR,NonOTR,OTR,NonOTR,NonOTR
2320,1.002E+11,53,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2321,1.002E+11,28,OTR,OTR,NonOTR,OTR,OTR,OTR
2322,1.002E+11,82,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2323,1.002E+11,48,OTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2324,1.002E+11,35,OTR,OTR,NonOTR,NonOTR,Default,Default
2325,1.002E+11,67,NonOTR,OTR,NonOTR,OTR,OTR,OTR
2326,1.002E+11,40,NonOTR,OTR,NonOTR,NonOTR,NonOTR,NonOTR
2327,1.002E+11,55,OTR,OTR,NonOTR,OTR,NonOTR,OTR
2328,1.002E+11,36,NonOTR,Default,Default,Default,Default,Default
2329,1.002E+11,19,OTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2330,1.002E+11,61,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2331,1.002E+11,30,OTR,OTR,NonOTR,OTR,OTR,OTR
2332,1.002E+11,51,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2333,1.002E+11,65,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2334,1.002E+11,37,NonOTR,OTR,NonOTR,OTR,OTR,OTR
2335,1.002E+11,33,OTR,OTR,NonOTR,OTR,Default,Default
2336,1.002E+11,28,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2337,1.00201E+11,54,NonOTR,NonOTR,NonOTR,NonOTR,Default,Default
2338,1.002E+11,37,OTR,OTR,NonOTR,OTR,OTR,OTR
2339,1.00201E+11,68,NonOTR,OTR,NonOTR,Default,Default,Default
2340,1.002E+11,67,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,Default
2341,1.00201E+11,63,NonOTR,NonOTR,NonOTR,NonOTR,Default,Default
2342,1.002E+11,66,OTR,OTR,Default,Default,Default,Default
2343,1.002E+11,74,OTR,NonOTR,NonOTR,NonOTR,NonOTR,Default
2344,1.002E+11,73,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2345,1.002E+11,48,Default,Default,Default,Default,Default,Default
2346,1.002E+11,50,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2347,1.002E+11,71,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2348,1.002E+11,60,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2349,1.002E+11,41,OTR,OTR,OTR,OTR,OTR,OTR
2350,1.002E+11,44,OTR,OTR,OTR,OTR,OTR,OTR
2351,1.002E+11,81,NonOTR,NonOTR,Default,Default,Default,Default
2352,1.002E+11,76,OTR,OTR,NonOTR,OTR,OTR,NonOTR
2353,1.002E+11,56,Default,Default,Default,Default,Default,Default
2354,1.002E+11,71,NonOTR,NonOTR,NonOTR,NonOTR,OTR,NonOTR
2355,1.00201E+11,73,NonOTR,NonOTR,NonOTR,NonOTR,Default,Default
2356,1.002E+11,33,NonOTR,OTR,NonOTR,OTR,Default,Default
2357,1.002E+11,49,NonOTR,Default,Default,Default,Default,Default
2358,1.002E+11,72,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2359,1.002E+11,56,OTR,OTR,NonOTR,OTR,OTR,NonOTR
2360,1.002E+11,56,OTR,NonOTR,NonOTR,OTR,NonOTR,NonOTR
2361,1.002E+11,83,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2362,1.002E+11,45,NonOTR,NonOTR,NonOTR,OTR,NonOTR,Default
2363,1.002E+11,63,OTR,OTR,NonOTR,Default,Default,Default
2364,1.002E+11,47,OTR,OTR,NonOTR,OTR,OTR,OTR
2365,1.002E+11,60,Default,Default,Default,Default,Default,Default
2366,1.002E+11,91,OTR,OTR,NonOTR,OTR,OTR,OTR
2367,1.002E+11,28,OTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2368,1.002E+11,33,Default,Default,Default,Default,Default,Default
2369,1.002E+11,79,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2370,1.002E+11,33,OTR,OTR,NonOTR,OTR,NonOTR,NonOTR
2371,1.002E+11,63,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2372,1.002E+11,39,NonOTR,OTR,NonOTR,NonOTR,NonOTR,NonOTR
2373,1.002E+11,27,OTR,OTR,NonOTR,OTR,OTR,OTR
2374,1.002E+11,36,NonOTR,Default,Default,Default,Default,Default
2375,1.002E+11,32,NonOTR,NonOTR,NonOTR,Default,Default,Default
2376,1.002E+11,41,OTR,OTR,NonOTR,OTR,OTR,OTR
2377,1.002E+11,35,OTR,OTR,NonOTR,OTR,OTR,OTR
2378,1.002E+11,46,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2379,1.002E+11,47,NonOTR,NonOTR,NonOTR,NonOTR,Default,Default
2380,1.002E+11,43,Default,Default,Default,Default,Default,Default
2381,1.002E+11,43,OTR,OTR,NonOTR,OTR,OTR,OTR
2382,1.002E+11,67,OTR,Default,Default,Default,Default,Default
2383,1.002E+11,61,NonOTR,NonOTR,NonOTR,OTR,OTR,OTR
2384,1.002E+11,75,OTR,Default,Default,Default,Default,Default
2385,1.002E+11,45,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2386,1.002E+11,64,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2387,1.002E+11,56,OTR,OTR,NonOTR,OTR,OTR,OTR
2388,1.002E+11,56,OTR,NonOTR,NonOTR,OTR,NonOTR,Default
2389,1.002E+11,65,NonOTR,NonOTR,NonOTR,Default,Default,Default
2390,1.00201E+11,81,OTR,NonOTR,Default,Default,Default,Default
2391,1.002E+11,27,Default,Default,Default,Default,Default,Default
